<<<<<<< HEAD
10 1238099084
16 4100112380990844
=======
16 4100112380990844
10 1238099084
>>>>>>> 3946bfc9ead3be0cbaf05d3b8d507eb04e90145d
26 12380990844100112380990844
42 123809908444100112380990844100112380990844
55 1238099084441001123809908441001321238099084432180990844
60 123809908444100145351123809908441001321238099084432180990844
71 12380990844410013218099084441001123809908441001321238099084432180990844
99 123809908444100180990844410013211238099084410013212380990844123809908441238099084410013232180990844
82 1238099084441001410011238099084412380990844100132123809908441238099084432180990844
58 0899809812380990844100132123809908441238099084432180990844
